,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
7214,537022,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,2010-12-03 15:45:00,1.25,12725.0,Italy
7215,537022,21287,SCENTED VELVET LOUNGE CANDLE,12,2010-12-03 15:45:00,1.25,12725.0,Italy
7216,537022,79337,BLUE FLOCK GLASS CANDLEHOLDER,6,2010-12-03 15:45:00,1.65,12725.0,Italy
7217,537022,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,12,2010-12-03 15:45:00,1.25,12725.0,Italy
7218,537022,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,6,2010-12-03 15:45:00,2.1,12725.0,Italy
7219,537022,22809,SET OF 6 T-LIGHTS SANTA,6,2010-12-03 15:45:00,2.95,12725.0,Italy
7220,537022,22810,SET OF 6 T-LIGHTS SNOWMEN,6,2010-12-03 15:45:00,2.95,12725.0,Italy
7221,537022,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,12,2010-12-03 15:45:00,1.25,12725.0,Italy
7222,537022,22307,GOLD MUG BONE CHINA TREE OF LIFE,6,2010-12-03 15:45:00,1.95,12725.0,Italy
7223,537022,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,24,2010-12-03 15:45:00,0.65,12725.0,Italy
7224,537022,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,2010-12-03 15:45:00,4.25,12725.0,Italy
7225,537022,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7226,537022,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7227,537022,85034A,3 GARDENIA MORRIS BOXED CANDLES,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7228,537022,85035C,ROSE 3 WICK MORRIS BOX CANDLE,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7229,537022,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,6,2010-12-03 15:45:00,4.25,12725.0,Italy
7230,537022,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7231,537022,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7232,537022,85034C,3 ROSE MORRIS BOXED CANDLES,4,2010-12-03 15:45:00,4.25,12725.0,Italy
7233,537022,72741,GRAND CHOCOLATECANDLE,9,2010-12-03 15:45:00,1.45,12725.0,Italy
7234,537022,84614A,PINK BAROQUE FLOCK CANDLE HOLDER,2,2010-12-03 15:45:00,5.95,12725.0,Italy
7235,537022,22697,GREEN REGENCY TEACUP AND SAUCER,6,2010-12-03 15:45:00,2.95,12725.0,Italy
7236,537022,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,3,2010-12-03 15:45:00,4.65,12725.0,Italy
7237,537022,POST,POSTAGE,2,2010-12-03 15:45:00,28.0,12725.0,Italy
41139,539752,22215,CAKE STAND WHITE TWO TIER LACE,2,2010-12-21 15:43:00,8.5,12515.0,Italy
41140,539752,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-21 15:43:00,12.75,12515.0,Italy
41141,539752,22223,CAKE PLATE LOVEBIRD PINK,12,2010-12-21 15:43:00,1.95,12515.0,Italy
41142,539752,22236,CAKE STAND 3 TIER MAGIC GARDEN,2,2010-12-21 15:43:00,12.75,12515.0,Italy
41143,539752,22221,CAKE STAND LOVEBIRD 2 TIER PINK,2,2010-12-21 15:43:00,9.95,12515.0,Italy
41144,539752,15036,ASSORTED COLOURS SILK FAN,12,2010-12-21 15:43:00,0.75,12515.0,Italy
41145,539752,15056N,EDWARDIAN PARASOL NATURAL,3,2010-12-21 15:43:00,5.95,12515.0,Italy
41146,539752,15056P,EDWARDIAN PARASOL PINK,3,2010-12-21 15:43:00,5.95,12515.0,Italy
41147,539752,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-21 15:43:00,1.45,12515.0,Italy
41148,539752,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2010-12-21 15:43:00,4.95,12515.0,Italy
41149,539752,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2010-12-21 15:43:00,0.55,12515.0,Italy
41150,539752,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-21 15:43:00,0.55,12515.0,Italy
41151,539752,22938,CUPCAKE LACE PAPER SET 6,12,2010-12-21 15:43:00,1.95,12515.0,Italy
41152,539752,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2010-12-21 15:43:00,2.55,12515.0,Italy
41153,539752,22697,GREEN REGENCY TEACUP AND SAUCER,6,2010-12-21 15:43:00,2.95,12515.0,Italy
41154,539752,POST,POSTAGE,3,2010-12-21 15:43:00,35.0,12515.0,Italy
56763,541115,84378,SET OF 3 HEART COOKIE CUTTERS,24,2011-01-13 15:34:00,1.25,12578.0,Italy
56764,541115,22301,COFFEE MUG CAT + BIRD DESIGN,12,2011-01-13 15:34:00,2.55,12578.0,Italy
56765,541115,22300,COFFEE MUG DOG + BALL DESIGN,12,2011-01-13 15:34:00,2.55,12578.0,Italy
56766,541115,22350,ILLUSTRATED CAT BOWL,12,2011-01-13 15:34:00,2.55,12578.0,Italy
56767,541115,22349,DOG BOWL CHASING BALL DESIGN,12,2011-01-13 15:34:00,3.75,12578.0,Italy
56768,541115,22659,LUNCH BOX I LOVE LONDON,12,2011-01-13 15:34:00,1.95,12578.0,Italy
56769,541115,22630,DOLLY GIRL LUNCH BOX,12,2011-01-13 15:34:00,1.95,12578.0,Italy
56770,541115,22631,CIRCUS PARADE LUNCH BOX,12,2011-01-13 15:34:00,1.95,12578.0,Italy
56771,541115,22629,SPACEBOY LUNCH BOX,12,2011-01-13 15:34:00,1.95,12578.0,Italy
56772,541115,22190,LOCAL CAFE MUG,12,2011-01-13 15:34:00,2.1,12578.0,Italy
56773,541115,22348,TEA BAG PLATE RED RETROSPOT,24,2011-01-13 15:34:00,0.85,12578.0,Italy
56774,541115,22352,LUNCH BOX WITH CUTLERY RETROSPOT,12,2011-01-13 15:34:00,2.55,12578.0,Italy
56775,541115,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,2011-01-13 15:34:00,2.95,12578.0,Italy
56776,541115,22135,MINI LADLE LOVE HEART PINK,12,2011-01-13 15:34:00,0.42,12578.0,Italy
56777,541115,22134,MINI LADLE LOVE HEART RED,24,2011-01-13 15:34:00,0.42,12578.0,Italy
56778,541115,22558,CLOTHES PEGS RETROSPOT PACK 24,24,2011-01-13 15:34:00,1.49,12578.0,Italy
56779,541115,22365,DOORMAT RESPECTABLE HOUSE,2,2011-01-13 15:34:00,7.95,12578.0,Italy
56780,541115,48184,DOORMAT ENGLISH ROSE,2,2011-01-13 15:34:00,7.95,12578.0,Italy
56781,541115,22366,DOORMAT AIRMAIL,4,2011-01-13 15:34:00,7.95,12578.0,Italy
56782,541115,21775,DECORATIVE FLORE BATHROOM BOTTLE,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56783,541115,21774,DECORATIVE CATS BATHROOM BOTTLE,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56784,541115,22494,EMERGENCY FIRST AID TIN,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56785,541115,21906,PHARMACIE FIRST AID TIN,6,2011-01-13 15:34:00,6.75,12578.0,Italy
56786,541115,21260,FIRST AID TIN,6,2011-01-13 15:34:00,3.25,12578.0,Italy
56787,541115,POST,POSTAGE,7,2011-01-13 15:34:00,28.0,12578.0,Italy
56788,541115,22471,TV DINNER TRAY AIR HOSTESS,3,2011-01-13 15:34:00,4.95,12578.0,Italy
56789,541115,22314,OFFICE MUG WARMER CHOC+BLUE,12,2011-01-13 15:34:00,2.95,12578.0,Italy
56790,541115,22313,OFFICE MUG WARMER PINK,12,2011-01-13 15:34:00,2.95,12578.0,Italy
56791,541115,22312,OFFICE MUG WARMER POLKADOT,6,2011-01-13 15:34:00,2.95,12578.0,Italy
56792,541115,22311,OFFICE MUG WARMER BLACK+SILVER,6,2011-01-13 15:34:00,2.95,12578.0,Italy
56793,541115,22433,WATERING CAN GREEN DINOSAUR,12,2011-01-13 15:34:00,1.95,12578.0,Italy
56794,541115,22431,WATERING CAN BLUE ELEPHANT,12,2011-01-13 15:34:00,1.95,12578.0,Italy
56795,541115,22444,GROW YOUR OWN PLANT IN A CAN,24,2011-01-13 15:34:00,1.25,12578.0,Italy
56796,541115,22525,CHILDRENS GARDEN GLOVES PINK,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56797,541115,22524,CHILDRENS GARDEN GLOVES BLUE,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56798,541115,22521,CHILDS GARDEN TROWEL PINK,12,2011-01-13 15:34:00,0.85,12578.0,Italy
56799,541115,22520,CHILDS GARDEN TROWEL BLUE,12,2011-01-13 15:34:00,0.85,12578.0,Italy
56800,541115,22523,CHILDS GARDEN FORK PINK,12,2011-01-13 15:34:00,0.85,12578.0,Italy
56801,541115,22522,CHILDS GARDEN FORK BLUE,12,2011-01-13 15:34:00,0.85,12578.0,Italy
56802,541115,22515,CHILDS GARDEN SPADE PINK,6,2011-01-13 15:34:00,2.1,12578.0,Italy
56803,541115,22514,CHILDS GARDEN SPADE BLUE,6,2011-01-13 15:34:00,2.1,12578.0,Italy
56804,541115,22519,CHILDS GARDEN BRUSH PINK,6,2011-01-13 15:34:00,2.1,12578.0,Italy
56805,541115,22518,CHILDS GARDEN BRUSH BLUE,6,2011-01-13 15:34:00,2.1,12578.0,Italy
56806,541115,22517,CHILDS GARDEN RAKE PINK,6,2011-01-13 15:34:00,2.1,12578.0,Italy
56807,541115,22516,CHILDS GARDEN RAKE BLUE,6,2011-01-13 15:34:00,2.1,12578.0,Italy
56808,541115,22556,PLASTERS IN TIN CIRCUS PARADE,12,2011-01-13 15:34:00,1.65,12578.0,Italy
56809,541115,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-01-13 15:34:00,1.65,12578.0,Italy
56810,541115,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,2011-01-13 15:34:00,2.55,12578.0,Italy
56811,541115,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2011-01-13 15:34:00,2.55,12578.0,Italy
56812,541115,22472,TV DINNER TRAY DOLLY GIRL,3,2011-01-13 15:34:00,4.95,12578.0,Italy
56813,541115,22474,SPACEBOY TV DINNER TRAY,3,2011-01-13 15:34:00,4.95,12578.0,Italy
56814,541115,22272,FELTCRAFT DOLL MARIA,6,2011-01-13 15:34:00,2.95,12578.0,Italy
56815,541115,22273,FELTCRAFT DOLL MOLLY,6,2011-01-13 15:34:00,2.95,12578.0,Italy
56816,541115,22271,FELTCRAFT DOLL ROSIE,6,2011-01-13 15:34:00,2.95,12578.0,Italy
56817,541115,22113,GREY HEART HOT WATER BOTTLE,8,2011-01-13 15:34:00,3.75,12578.0,Italy
56818,541115,22111,SCOTTIE DOG HOT WATER BOTTLE,8,2011-01-13 15:34:00,4.95,12578.0,Italy
56819,541115,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2011-01-13 15:34:00,4.95,12578.0,Italy
56820,541115,22099,CARAVAN SQUARE TISSUE BOX,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56821,541115,22098,BOUDOIR SQUARE TISSUE BOX,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56822,541115,20725,LUNCH BAG RED RETROSPOT,10,2011-01-13 15:34:00,1.65,12578.0,Italy
56823,541115,85178,VICTORIAN SEWING KIT,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56824,541115,21787,RAIN PONCHO RETROSPOT,24,2011-01-13 15:34:00,0.85,12578.0,Italy
56825,541115,21786,POLKADOT RAIN HAT,24,2011-01-13 15:34:00,0.42,12578.0,Italy
56826,541115,15060B,FAIRY CAKE DESIGN UMBRELLA,4,2011-01-13 15:34:00,3.75,12578.0,Italy
56827,541115,22379,RECYCLING BAG RETROSPOT,5,2011-01-13 15:34:00,2.1,12578.0,Italy
56828,541115,21936,RED RETROSPOT PICNIC BAG,5,2011-01-13 15:34:00,2.95,12578.0,Italy
56829,541115,21844,RED RETROSPOT MUG,12,2011-01-13 15:34:00,2.95,12578.0,Italy
56830,541115,22310,IVORY KNITTED MUG COSY,18,2011-01-13 15:34:00,1.65,12578.0,Italy
56831,541115,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,12,2011-01-13 15:34:00,1.25,12578.0,Italy
56832,541115,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,24,2011-01-13 15:34:00,1.25,12578.0,Italy
65944,541703,20728,LUNCH BAG CARS BLUE,20,2011-01-21 09:52:00,1.65,12594.0,Italy
65945,541703,20726,LUNCH BAG WOODLAND,20,2011-01-21 09:52:00,1.65,12594.0,Italy
65946,541703,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-01-21 09:52:00,1.95,12594.0,Italy
65947,541703,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,2011-01-21 09:52:00,4.95,12594.0,Italy
65948,541703,21365,MIRRORED WALL ART STARS,12,2011-01-21 09:52:00,2.95,12594.0,Italy
65949,541703,21371,MIRRORED WALL ART POPPIES,12,2011-01-21 09:52:00,2.55,12594.0,Italy
65950,541703,22549,PICTURE DOMINOES,12,2011-01-21 09:52:00,1.45,12594.0,Italy
65951,541703,22380,TOY TIDY SPACEBOY,10,2011-01-21 09:52:00,2.1,12594.0,Italy
65952,541703,22381,TOY TIDY PINK POLKADOT,10,2011-01-21 09:52:00,2.1,12594.0,Italy
65953,541703,22379,RECYCLING BAG RETROSPOT,5,2011-01-21 09:52:00,2.1,12594.0,Italy
65954,541703,71270,PHOTO CLIP LINE,24,2011-01-21 09:52:00,1.25,12594.0,Italy
65955,541703,POST,POSTAGE,2,2011-01-21 09:52:00,28.0,12594.0,Italy
72275,542238,47580,TEA TIME DES TEA COSY,6,2011-01-26 14:35:00,2.55,12591.0,Italy
72276,542238,22261,FELT EGG COSY WHITE RABBIT,12,2011-01-26 14:35:00,0.85,12591.0,Italy
72277,542238,22260,FELT EGG COSY BLUE RABBIT,12,2011-01-26 14:35:00,0.85,12591.0,Italy
72278,542238,22066,LOVE HEART TRINKET POT,12,2011-01-26 14:35:00,1.45,12591.0,Italy
72279,542238,22611,VINTAGE UNION JACK SHOPPING BAG,3,2011-01-26 14:35:00,4.95,12591.0,Italy
72280,542238,22961,JAM MAKING SET PRINTED,12,2011-01-26 14:35:00,1.45,12591.0,Italy
72281,542238,22222,CAKE PLATE LOVEBIRD WHITE,3,2011-01-26 14:35:00,4.95,12591.0,Italy
72282,542238,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-01-26 14:35:00,9.95,12591.0,Italy
72283,542238,22956,36 FOIL HEART CAKE CASES,6,2011-01-26 14:35:00,2.1,12591.0,Italy
72284,542238,21068,VINTAGE BILLBOARD LOVE/HATE MUG,12,2011-01-26 14:35:00,1.25,12591.0,Italy
72285,542238,84050,PINK HEART SHAPE EGG FRYING PAN,6,2011-01-26 14:35:00,1.65,12591.0,Italy
72286,542238,84988,SET OF 72 PINK HEART PAPER DOILIES,24,2011-01-26 14:35:00,1.45,12591.0,Italy
72287,542238,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-01-26 14:35:00,0.55,12591.0,Italy
72288,542238,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,2011-01-26 14:35:00,2.55,12591.0,Italy
72289,542238,22667,RECIPE BOX RETROSPOT,6,2011-01-26 14:35:00,2.95,12591.0,Italy
72290,542238,22131,FOOD CONTAINER SET 3 LOVE HEART,6,2011-01-26 14:35:00,1.95,12591.0,Italy
72291,542238,22133,PINK LOVE HEART SHAPE CUP,12,2011-01-26 14:35:00,0.85,12591.0,Italy
72292,542238,22132,RED LOVE HEART SHAPE CUP,12,2011-01-26 14:35:00,0.85,12591.0,Italy
72293,542238,22364,GLASS JAR DIGESTIVE BISCUITS,6,2011-01-26 14:35:00,2.95,12591.0,Italy
72294,542238,22363,GLASS JAR MARMALADE,6,2011-01-26 14:35:00,2.95,12591.0,Italy
72295,542238,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2011-01-26 14:35:00,0.85,12591.0,Italy
72296,542238,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-01-26 14:35:00,0.85,12591.0,Italy
72297,542238,22079,RIBBON REEL HEARTS DESIGN,10,2011-01-26 14:35:00,1.65,12591.0,Italy
72298,542238,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-01-26 14:35:00,9.95,12591.0,Italy
72299,542238,POST,POSTAGE,3,2011-01-26 14:35:00,28.0,12591.0,Italy
72300,542238,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-01-26 14:35:00,7.95,12591.0,Italy
94616,544399,22381,TOY TIDY PINK POLKADOT,10,2011-02-18 12:28:00,2.1,12594.0,Italy
94617,544399,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2011-02-18 12:28:00,2.1,12594.0,Italy
94618,544399,22380,TOY TIDY SPACEBOY,10,2011-02-18 12:28:00,2.1,12594.0,Italy
94619,544399,22556,PLASTERS IN TIN CIRCUS PARADE,12,2011-02-18 12:28:00,1.65,12594.0,Italy
94620,544399,22898,CHILDRENS APRON APPLES DESIGN,8,2011-02-18 12:28:00,1.95,12594.0,Italy
94621,544399,22379,RECYCLING BAG RETROSPOT,10,2011-02-18 12:28:00,2.1,12594.0,Italy
94622,544399,22584,PACK OF 6 PANNETONE GIFT BOXES,6,2011-02-18 12:28:00,2.55,12594.0,Italy
94623,544399,22583,PACK OF 6 HANDBAG GIFT BOXES,6,2011-02-18 12:28:00,2.55,12594.0,Italy
94624,544399,22582,PACK OF 6 SWEETIE GIFT BOXES,6,2011-02-18 12:28:00,2.55,12594.0,Italy
94625,544399,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-02-18 12:28:00,1.95,12594.0,Italy
94626,544399,20713,JUMBO BAG OWLS,10,2011-02-18 12:28:00,1.95,12594.0,Italy
94627,544399,20711,JUMBO BAG TOYS,10,2011-02-18 12:28:00,1.95,12594.0,Italy
94628,544399,POST,POSTAGE,1,2011-02-18 12:28:00,28.0,12594.0,Italy
109898,545664,21754,HOME BUILDING BLOCK WORD,3,2011-03-04 15:15:00,5.95,12584.0,Italy
109899,545664,21260,FIRST AID TIN,6,2011-03-04 15:15:00,3.25,12584.0,Italy
109900,545664,22848,BREAD BIN DINER STYLE PINK,1,2011-03-04 15:15:00,16.95,12584.0,Italy
109901,545664,84849B,FAIRY SOAP SOAP HOLDER,12,2011-03-04 15:15:00,1.69,12584.0,Italy
109902,545664,21624,VINTAGE UNION JACK DOORSTOP,3,2011-03-04 15:15:00,5.95,12584.0,Italy
109903,545664,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-03-04 15:15:00,9.95,12584.0,Italy
109904,545664,48138,DOORMAT UNION FLAG,2,2011-03-04 15:15:00,7.95,12584.0,Italy
109905,545664,21622,VINTAGE UNION JACK CUSHION COVER,12,2011-03-04 15:15:00,4.95,12584.0,Italy
109906,545664,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-03-04 15:15:00,7.95,12584.0,Italy
109907,545664,22366,DOORMAT AIRMAIL,2,2011-03-04 15:15:00,7.95,12584.0,Italy
109908,545664,22692,DOORMAT WELCOME TO OUR HOME,2,2011-03-04 15:15:00,7.95,12584.0,Italy
109909,545664,22722,SET OF 6 SPICE TINS PANTRY DESIGN,8,2011-03-04 15:15:00,3.95,12584.0,Italy
109910,545664,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2011-03-04 15:15:00,4.95,12584.0,Italy
109911,545664,21756,BATH BUILDING BLOCK WORD,3,2011-03-04 15:15:00,5.95,12584.0,Italy
109912,545664,22667,RECIPE BOX RETROSPOT,12,2011-03-04 15:15:00,2.95,12584.0,Italy
109913,545664,21217,RED RETROSPOT ROUND CAKE TINS,1,2011-03-04 15:15:00,9.95,12584.0,Italy
109914,545664,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2011-03-04 15:15:00,4.95,12584.0,Italy
109915,545664,POST,POSTAGE,3,2011-03-04 15:15:00,28.0,12584.0,Italy
122447,546875,21754,HOME BUILDING BLOCK WORD,6,2011-03-17 16:38:00,5.95,12514.0,Italy
122448,546875,21756,BATH BUILDING BLOCK WORD,6,2011-03-17 16:38:00,5.95,12514.0,Italy
122449,546875,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-03-17 16:38:00,12.75,12514.0,Italy
122450,546875,22120,WELCOME  WOODEN BLOCK LETTERS,6,2011-03-17 16:38:00,9.95,12514.0,Italy
122451,546875,22283,6 EGG HOUSE PAINTED WOOD,4,2011-03-17 16:38:00,7.95,12514.0,Italy
122452,546875,22282,12 EGG HOUSE PAINTED WOOD,2,2011-03-17 16:38:00,12.75,12514.0,Italy
122453,546875,22859,EASTER TIN BUNNY BOUQUET,6,2011-03-17 16:38:00,1.65,12514.0,Italy
122454,546875,22858,EASTER TIN KEEPSAKE,6,2011-03-17 16:38:00,1.65,12514.0,Italy
122455,546875,22860,EASTER TIN CHICKS PINK DAISY,6,2011-03-17 16:38:00,1.65,12514.0,Italy
122456,546875,22861,EASTER TIN CHICKS IN GARDEN,6,2011-03-17 16:38:00,1.65,12514.0,Italy
122457,546875,22630,DOLLY GIRL LUNCH BOX,12,2011-03-17 16:38:00,1.95,12514.0,Italy
122458,546875,22629,SPACEBOY LUNCH BOX,12,2011-03-17 16:38:00,1.95,12514.0,Italy
